01_Dollars,Dollars,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,1,2025,music,very high,,,Hip Hop,,quirky,,,151,,,,,D# minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400001,850062207004,01113794567,01114263304
02_Magical,Magical,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,2,2025,music,high,,,Hip Hop,,quirky,,positive,90,,,,,C minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400002,850062207011,01113794567,01114263304
03_Crown,Crown,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,3,2025,music,high,,,Electronic,,powerful,,,141,,,,,C minor,G# minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400003,850062207028,01113794567,01114263304
04_Money,Money,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,4,2025,music,high,,,Hip Hop,Old School Hip Hop,dark,powerful,negative,124,62,,,,A# minor,,,,,,instrumental,,,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400004,850062207035,01113794567,01114263304
05_Gone,Gone,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,5,2025,music,high,,,Hip Hop,,powerful,,,172,86,,,,A minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400005,850062207042,01113794567,01114263304
06_Militant,Militant,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,6,2025,music,very high,,,Electronic,,powerful,angry,negative,121,,,,,F minor,C major,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400006,850062207059,01113794567,01114263304
07_War,War,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,7,2025,music,high,,,Hip Hop,,powerful,energetic,,140,,,,,F minor,C minor,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400007,850062207066,01113794567,01114263304
08_Get_It,Get It,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,8,2025,music,medium,,,Hip Hop,,quirky,,positive,140,70,,,,F minor,,,,,,vocal,,male,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400008,850062207073,01113794567,01114263304
09_Multi_Million,Multi Million,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,9,2025,music,very high,,,Electronic,,powerful,energetic,,170,,,,,D# minor,,,,,,instrumental,,,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400009,850062207080,01113794567,01114263304
10_Heart,Heart,Elemental Publishing,Wesley Alexander Houser,Wesley Alexander Houser,Elemental Publishing,Spiderfox Type One,10,2025,music,medium,,,Hip Hop,,quirky,,,140,,,,,A minor,,,,,,vocal,,mixed,percussion,,,,,Â© 2025 Wesley Alexander Houser,Elemental Publishing Worldwide,QZUK22400010,850062207097,01113794567,01114263304
